dest room|bill room|date|time|#orders|menu id
restaurant|X16|2016-04-23|12:54:00|1|9
restaurant|L27|2016-05-07|23:53:00|4|0
restaurant|L27|2016-05-08|21:11:00|5|0
L27|L27|2016-05-04|21:06:00|2|13
S24|S24|2016-06-04|02:19:00|4|7
restaurant|S24|2016-06-05|10:36:00|2|5
S25|S25|2016-06-08|08:50:00|3|6
S26|S26|2016-06-02|03:54:00|2|12
S26|S26|2016-06-03|08:04:00|4|2
restaurant|S36|2016-05-19|00:07:00|2|15
restaurant|S27|2016-06-16|15:01:00|1|10
S28|S28|2016-05-12|12:30:00|5|11
restaurant|S34|2016-05-11|11:34:00|5|9
L14|L14|2016-06-27|10:40:00|5|12
restaurant|L14|2016-07-01|05:53:00|1|9
restaurant|L14|2016-07-02|02:49:00|4|8
restaurant|N69|2016-05-02|18:36:00|1|1
restaurant|N70|2016-04-30|20:38:00|3|7
restaurant|L14|2016-06-16|21:29:00|1|13
restaurant|S16|2016-05-24|13:32:00|3|9
restaurant|S17|2016-05-23|18:31:00|3|4
restaurant|S18|2016-05-25|23:02:00|5|11
restaurant|S23|2016-05-25|17:43:00|4|15
L11|L11|2016-04-11|12:04:00|4|4
restaurant|L16|2016-06-25|03:58:00|2|6
L16|L16|2016-06-27|23:26:00|2|9
restaurant|L16|2016-06-27|18:07:00|5|15
restaurant|L16|2016-06-27|01:26:00|2|13
L17|L17|2016-06-27|23:43:00|4|3
L17|L17|2016-06-25|18:42:00|2|2
restaurant|L17|2016-06-28|14:04:00|4|9
L17|L17|2016-06-24|11:26:00|3|1
N30|N30|2016-04-15|05:05:00|3|1
restaurant|S27|2016-05-04|00:40:00|3|1
restaurant|S27|2016-05-02|18:54:00|5|7
restaurant|S28|2016-05-02|06:46:00|3|6
restaurant|L17|2016-06-11|09:08:00|5|4
L17|L17|2016-06-11|00:31:00|2|7
L28|L28|2016-05-09|18:22:00|4|7
restaurant|L28|2016-05-09|10:17:00|5|5
L28|L28|2016-05-06|22:50:00|1|2
L29|L29|2016-05-10|11:23:00|3|3
restaurant|L29|2016-05-08|22:25:00|2|15
S17|S17|2016-06-03|13:18:00|4|14
restaurant|S64|2016-06-02|10:10:00|3|11
restaurant|S65|2016-06-03|18:31:00|5|13
restaurant|L10|2016-04-05|05:46:00|1|13
L11|L11|2016-04-06|14:18:00|1|7
restaurant|X14|2016-05-01|12:23:00|1|0
restaurant|L14|2016-04-04|20:54:00|1|9
restaurant|L2|2016-06-04|21:26:00|1|6
restaurant|L2|2016-06-06|14:06:00|5|9
L2|L2|2016-06-06|17:09:00|3|7
restaurant|S7|2016-06-29|05:14:00|5|5
S7|S7|2016-07-04|04:01:00|1|6
S8|S8|2016-07-03|05:03:00|1|12
S8|S8|2016-07-02|12:16:00|4|14
restaurant|S8|2016-07-03|07:14:00|3|5
restaurant|L15|2016-04-09|18:32:00|1|7
restaurant|L15|2016-04-04|10:37:00|5|7
restaurant|L16|2016-05-16|13:46:00|3|7
restaurant|L17|2016-05-15|01:21:00|4|7
restaurant|L2|2016-04-23|22:43:00|2|11
restaurant|L2|2016-04-27|14:41:00|5|5
L2|L2|2016-04-25|10:25:00|5|3
L2|L2|2016-04-25|14:28:00|1|6
L21|L21|2016-06-01|23:17:00|1|13
L13|L13|2016-04-23|13:36:00|3|1
restaurant|S28|2016-06-15|15:11:00|5|14
S29|S29|2016-06-19|06:00:00|4|11
restaurant|S31|2016-06-16|07:08:00|5|9
restaurant|L18|2016-06-23|02:26:00|1|2
restaurant|N38|2016-04-24|15:48:00|4|12
restaurant|N39|2016-05-03|20:42:00|1|10
restaurant|L7|2016-05-03|23:14:00|1|5
restaurant|L10|2016-04-29|09:21:00|5|5
restaurant|L10|2016-04-29|17:09:00|1|11
L10|L10|2016-04-29|00:09:00|1|13
restaurant|L11|2016-04-28|01:36:00|1|7
L15|L15|2016-05-17|14:12:00|5|15
S25|S25|2016-06-30|15:41:00|3|6
S26|S26|2016-06-28|10:32:00|3|7
S27|S27|2016-07-01|13:11:00|5|11
restaurant|L18|2016-05-16|02:53:00|1|5
restaurant|S4|2016-04-06|12:45:00|5|12
restaurant|S6|2016-04-03|01:16:00|1|7
restaurant|S7|2016-04-03|21:18:00|1|13
S8|S8|2016-04-03|04:12:00|3|4
L16|L16|2016-06-18|07:45:00|5|12
restaurant|S32|2016-06-11|05:40:00|3|0
S32|S32|2016-06-17|14:48:00|3|11
restaurant|L10|2016-04-15|18:33:00|5|15
restaurant|S41|2016-04-17|07:31:00|1|0
restaurant|S43|2016-04-17|17:03:00|5|5
restaurant|S44|2016-04-21|11:45:00|1|6
restaurant|L13|2016-06-12|04:37:00|1|2
L13|L13|2016-04-29|17:16:00|3|15
restaurant|L13|2016-05-02|19:22:00|4|12
S41|S41|2016-06-27|04:37:00|2|6
S43|S43|2016-06-25|19:35:00|5|15
S44|S44|2016-06-24|04:03:00|3|3
S33|S33|2016-05-02|22:21:00|3|9
S34|S34|2016-05-02|10:20:00|3|8
S35|S35|2016-05-03|12:19:00|1|1
restaurant|L0|2016-05-26|01:33:00|1|15
restaurant|S11|2016-04-14|02:03:00|4|1
restaurant|S12|2016-04-16|14:57:00|2|11
restaurant|S13|2016-04-13|16:09:00|4|13
restaurant|S85|2016-06-13|19:40:00|1|3
S91|S91|2016-06-13|00:55:00|4|9
restaurant|L26|2016-06-05|12:51:00|4|8
L26|L26|2016-06-05|08:24:00|4|1
restaurant|L12|2016-04-18|14:35:00|1|15
S14|S14|2016-04-14|18:22:00|1|0
restaurant|S14|2016-04-14|21:45:00|2|14
restaurant|S15|2016-04-08|20:20:00|3|11
S15|S15|2016-04-12|21:56:00|1|11
S16|S16|2016-04-12|04:04:00|3|11
restaurant|S16|2016-04-08|04:51:00|1|6
restaurant|S10|2016-07-02|22:40:00|3|8
restaurant|S10|2016-06-30|08:01:00|5|6
restaurant|S10|2016-07-06|19:27:00|4|11
S11|S11|2016-07-07|21:12:00|2|6
S11|S11|2016-07-07|01:05:00|2|15
S11|S11|2016-07-02|01:18:00|3|2
restaurant|S12|2016-06-29|23:19:00|3|9
restaurant|S12|2016-07-10|15:22:00|3|6
restaurant|S13|2016-07-08|03:32:00|2|13
L25|L25|2016-05-19|04:04:00|2|3
restaurant|S45|2016-06-26|14:00:00|4|11
S46|S46|2016-06-26|22:12:00|4|0
restaurant|S48|2016-06-28|11:36:00|2|10
S50|S50|2016-07-02|01:30:00|4|3
restaurant|S50|2016-06-25|05:01:00|4|15
restaurant|S51|2016-06-27|03:19:00|4|10
S52|S52|2016-07-01|03:55:00|4|7
restaurant|L10|2016-05-14|02:30:00|1|12
S39|S39|2016-05-10|09:53:00|5|4
S20|S20|2016-04-27|16:33:00|1|2
S21|S21|2016-04-25|00:32:00|5|3
S23|S23|2016-04-26|14:49:00|5|11
restaurant|L17|2016-06-16|05:14:00|4|14
restaurant|L14|2016-04-27|06:21:00|1|9
restaurant|L14|2016-04-19|12:10:00|1|8
restaurant|L14|2016-04-29|13:35:00|3|6
L14|L14|2016-04-20|17:51:00|3|11
restaurant|L14|2016-04-26|06:44:00|2|12
L14|L14|2016-04-24|12:36:00|1|1
L15|L15|2016-04-29|15:22:00|3|11
restaurant|L15|2016-04-28|21:59:00|4|8
S28|S28|2016-07-05|23:20:00|1|5
restaurant|S28|2016-06-30|17:26:00|4|13
restaurant|S33|2016-07-01|02:05:00|2|3
L16|L16|2016-04-02|23:41:00|2|9
restaurant|L16|2016-04-05|03:55:00|4|14
L17|L17|2016-04-05|04:45:00|4|6
L17|L17|2016-04-03|03:24:00|5|2
restaurant|L16|2016-05-19|06:50:00|1|14
L16|L16|2016-05-18|00:26:00|2|11
L19|L19|2016-06-16|15:48:00|3|12
restaurant|L19|2016-06-13|00:46:00|1|12
L19|L19|2016-06-17|01:02:00|5|3
restaurant|D7|2016-04-20|12:43:00|3|13
restaurant|S17|2016-04-12|22:39:00|1|7
S19|S19|2016-04-11|09:55:00|4|1
restaurant|S20|2016-04-13|19:59:00|1|1
restaurant|L19|2016-06-24|02:23:00|5|8
L19|L19|2016-06-26|00:01:00|3|15
restaurant|L19|2016-06-26|08:57:00|2|14
L19|L19|2016-06-30|12:02:00|1|12
restaurant|L20|2016-06-29|20:23:00|5|7
restaurant|L20|2016-06-20|16:15:00|1|8
restaurant|L20|2016-06-29|23:45:00|1|7
restaurant|L20|2016-06-28|18:17:00|5|2
L20|L20|2016-06-19|05:44:00|1|4
restaurant|L18|2016-04-03|10:19:00|3|7
restaurant|L18|2016-04-03|02:35:00|2|7
S9|S9|2016-04-07|14:02:00|5|0
S11|S11|2016-04-06|10:42:00|1|11
L17|L17|2016-05-30|17:38:00|1|9
restaurant|L17|2016-05-30|22:02:00|4|1
L15|L15|2016-04-14|07:11:00|3|3
L15|L15|2016-04-15|02:09:00|1|0
L15|L15|2016-04-15|15:34:00|5|10
L22|L22|2016-04-16|13:06:00|3|3
L22|L22|2016-04-16|03:19:00|4|13
L16|L16|2016-04-29|10:52:00|1|9
N28|N28|2016-05-17|18:30:00|3|12
restaurant|N29|2016-05-20|17:58:00|2|2
restaurant|S23|2016-05-09|01:54:00|3|0
restaurant|S23|2016-05-13|00:29:00|2|11
S24|S24|2016-05-12|15:51:00|5|3
restaurant|S24|2016-05-09|23:43:00|2|12
S24|S24|2016-05-16|03:21:00|1|11
restaurant|D9|2016-05-04|07:52:00|2|5
restaurant|D10|2016-05-22|11:40:00|2|12
D10|D10|2016-05-16|03:01:00|5|3
restaurant|L6|2016-04-18|23:21:00|5|14
L6|L6|2016-04-17|16:41:00|4|7
restaurant|L17|2016-05-21|03:12:00|1|4
L17|L17|2016-05-21|04:35:00|1|10
restaurant|L17|2016-05-18|13:04:00|5|6
L19|L19|2016-05-14|03:24:00|5|13
restaurant|L19|2016-05-14|09:26:00|4|6
restaurant|L19|2016-05-14|08:06:00|1|7
L18|L18|2016-05-22|00:34:00|5|13
L18|L18|2016-05-23|05:04:00|4|7
restaurant|S22|2016-06-10|08:27:00|3|0
restaurant|S23|2016-06-07|03:23:00|2|4
restaurant|S24|2016-06-08|17:09:00|3|9
restaurant|X13|2016-04-09|13:42:00|4|12
restaurant|S42|2016-06-07|22:04:00|3|9
restaurant|S43|2016-06-16|21:11:00|5|1
restaurant|S43|2016-06-07|18:21:00|4|9
S43|S43|2016-06-11|07:57:00|5|8
S44|S44|2016-06-23|10:34:00|5|2
S44|S44|2016-06-22|04:29:00|5|3
S44|S44|2016-06-12|12:52:00|5|3
restaurant|S20|2016-04-29|03:29:00|4|7
S37|S37|2016-05-24|17:10:00|4|5
restaurant|N28|2016-04-19|20:22:00|5|2
N32|N32|2016-04-20|15:41:00|1|5
restaurant|N33|2016-04-19|21:26:00|3|1
restaurant|L6|2016-05-03|05:36:00|4|3
restaurant|L6|2016-04-30|18:37:00|4|2
S87|S87|2016-06-04|01:18:00|3|2
restaurant|L20|2016-06-12|06:33:00|5|14
restaurant|L20|2016-06-14|14:57:00|5|4
L21|L21|2016-06-12|04:59:00|3|3
restaurant|L9|2016-04-07|19:41:00|1|4
restaurant|L18|2016-05-01|20:03:00|4|2
restaurant|L30|2016-05-10|05:58:00|3|6
L30|L30|2016-05-09|06:38:00|3|12
L8|L8|2016-05-01|12:32:00|1|0
restaurant|L17|2016-04-25|21:38:00|4|15
L17|L17|2016-04-27|11:58:00|2|3
restaurant|L20|2016-05-15|07:51:00|4|12
L12|L12|2016-04-12|16:53:00|5|9
L12|L12|2016-04-10|19:50:00|1|6
L12|L12|2016-04-10|09:18:00|1|9
L10|L10|2016-05-03|22:41:00|1|12
restaurant|L13|2016-04-09|19:37:00|4|13
restaurant|L19|2016-04-28|16:22:00|1|15
restaurant|L19|2016-04-28|21:56:00|1|3
restaurant|L20|2016-04-27|07:26:00|5|4
restaurant|S26|2016-04-19|05:23:00|4|5
S28|S28|2016-04-20|19:15:00|2|12
restaurant|L39|2016-06-30|20:19:00|5|6
S20|S20|2016-04-14|08:49:00|3|15
restaurant|L19|2016-04-07|23:01:00|2|4
L19|L19|2016-04-08|04:27:00|2|0
restaurant|L19|2016-04-08|11:27:00|4|6
S45|S45|2016-06-13|21:39:00|2|1
S46|S46|2016-06-14|09:29:00|5|10
S24|S24|2016-05-02|09:50:00|3|2
S27|S27|2016-05-01|03:32:00|2|11
restaurant|S46|2016-05-16|01:27:00|4|7
S46|S46|2016-05-17|09:45:00|2|1
restaurant|S47|2016-05-15|15:03:00|4|5
S47|S47|2016-05-16|05:17:00|1|3
restaurant|L21|2016-05-14|18:01:00|3|14
L22|L22|2016-05-13|08:26:00|5|10
restaurant|L22|2016-05-14|14:01:00|2|11
restaurant|S30|2016-06-01|12:34:00|1|12
S50|S50|2016-06-14|20:54:00|3|8
L20|L20|2016-05-19|13:59:00|5|1
S49|S49|2016-05-15|11:05:00|2|6
S49|S49|2016-05-19|03:30:00|2|9
S50|S50|2016-05-21|17:34:00|1|12
restaurant|S51|2016-05-16|18:56:00|3|15
S51|S51|2016-05-20|18:55:00|5|1
S53|S53|2016-05-18|19:35:00|2|14
restaurant|S53|2016-05-15|04:10:00|5|1
restaurant|S21|2016-04-18|07:35:00|2|0
restaurant|S21|2016-04-16|05:08:00|1|7
restaurant|S22|2016-04-13|21:27:00|4|11
S22|S22|2016-04-18|15:24:00|5|14
restaurant|S22|2016-04-15|11:00:00|2|1
restaurant|L15|2016-04-11|07:15:00|2|8
restaurant|L15|2016-04-09|20:20:00|2|9
restaurant|L24|2016-04-24|11:56:00|5|12
restaurant|X15|2016-06-11|14:56:00|3|14
restaurant|X16|2016-06-11|05:54:00|5|5
L18|L18|2016-05-31|18:35:00|2|0
restaurant|L18|2016-05-29|11:19:00|5|5
restaurant|L5|2016-06-23|13:00:00|3|14
S15|S15|2016-05-27|15:29:00|3|7
S56|S56|2016-06-27|09:23:00|1|2
restaurant|S56|2016-06-16|04:37:00|5|14
restaurant|S57|2016-06-21|12:23:00|1|9
restaurant|S57|2016-06-16|05:45:00|1|9
restaurant|S57|2016-06-17|14:09:00|2|15
restaurant|S57|2016-06-23|11:23:00|1|1
restaurant|L26|2016-05-17|08:12:00|2|15
S113|S113|2016-06-29|17:11:00|5|13
restaurant|L29|2016-04-14|17:34:00|5|9
S16|S16|2016-04-03|09:39:00|4|12
S20|S20|2016-04-01|12:32:00|4|2
S41|S41|2016-05-14|09:23:00|5|15
S31|S31|2016-06-08|20:12:00|4|0
restaurant|S31|2016-05-31|17:12:00|3|4
restaurant|S31|2016-06-06|06:23:00|5|12
restaurant|L3|2016-06-18|15:32:00|1|10
restaurant|N46|2016-04-14|05:36:00|1|14
restaurant|N47|2016-04-17|04:52:00|3|7
restaurant|N48|2016-04-11|20:25:00|1|6
restaurant|L4|2016-04-23|23:45:00|3|4
L4|L4|2016-04-15|18:15:00|3|1
restaurant|L4|2016-04-22|03:05:00|1|7
restaurant|L4|2016-04-15|21:53:00|3|3
restaurant|L4|2016-04-17|20:23:00|4|11
L4|L4|2016-04-19|18:43:00|5|14
L3|L3|2016-06-12|22:22:00|2|1
restaurant|S58|2016-06-27|13:35:00|5|10
S59|S59|2016-06-26|23:02:00|5|3
restaurant|L9|2016-05-24|03:59:00|2|1
restaurant|L9|2016-05-26|04:03:00|5|11
restaurant|X16|2016-05-13|13:36:00|2|12
L17|L17|2016-07-02|10:43:00|2|2
L17|L17|2016-06-29|07:13:00|4|1
L17|L17|2016-07-03|00:55:00|2|10
restaurant|S28|2016-04-28|07:10:00|2|0
S29|S29|2016-04-29|23:41:00|5|15
restaurant|S30|2016-04-29|02:34:00|1|1
S60|S60|2016-06-26|08:24:00|3|7
S60|S60|2016-07-01|21:31:00|5|11
restaurant|S61|2016-06-29|09:21:00|5|1
S20|S20|2016-04-07|12:01:00|3|1
restaurant|S21|2016-04-06|11:18:00|5|13
restaurant|N93|2016-05-09|10:37:00|2|5
restaurant|N94|2016-05-12|18:33:00|4|13
restaurant|L5|2016-04-27|12:27:00|2|5
L5|L5|2016-04-23|15:25:00|1|9
L5|L5|2016-04-26|12:00:00|1|6
restaurant|L19|2016-04-09|10:21:00|3|6
restaurant|L19|2016-04-12|07:17:00|1|10
L19|L19|2016-04-13|17:31:00|4|12
L19|L19|2016-04-08|20:57:00|3|0
restaurant|L19|2016-04-16|13:31:00|1|7
restaurant|S54|2016-06-15|06:55:00|4|4
restaurant|S54|2016-06-16|11:26:00|1|7
S55|S55|2016-06-15|19:09:00|5|13
restaurant|S33|2016-05-27|03:33:00|3|5
S33|S33|2016-05-30|03:22:00|5|3
restaurant|S34|2016-05-25|04:17:00|4|6
restaurant|S35|2016-05-25|16:29:00|2|14
S35|S35|2016-05-26|15:46:00|2|6
S28|S28|2016-06-19|01:02:00|4|10
restaurant|S48|2016-06-22|23:49:00|2|12
S30|S30|2016-06-08|09:02:00|5|15
L21|L21|2016-04-29|17:40:00|2|7
L6|L6|2016-06-09|02:32:00|5|10
restaurant|L6|2016-06-11|22:55:00|3|0
restaurant|L10|2016-04-07|04:48:00|4|7
S27|S27|2016-04-12|08:51:00|2|3
restaurant|S29|2016-04-12|03:22:00|5|12
restaurant|S141|2016-06-28|22:24:00|5|1
restaurant|L24|2016-05-13|01:38:00|2|8
L25|L25|2016-05-13|01:52:00|4|13
restaurant|L25|2016-05-14|09:37:00|2|7
restaurant|S32|2016-04-27|10:00:00|4|12
restaurant|L25|2016-06-19|15:59:00|4|1
restaurant|S64|2016-06-18|10:38:00|1|7
S65|S65|2016-06-19|13:51:00|2|5
restaurant|S65|2016-06-23|05:57:00|3|15
restaurant|S66|2016-06-21|13:27:00|5|8
S66|S66|2016-06-24|23:49:00|1|4
S55|S55|2016-05-18|11:08:00|5|0
restaurant|S34|2016-06-10|19:35:00|3|3
restaurant|S34|2016-06-07|08:42:00|2|7
S35|S35|2016-06-14|08:12:00|1|13
restaurant|S36|2016-06-13|18:24:00|2|14
restaurant|S36|2016-06-11|06:21:00|1|10
restaurant|L22|2016-06-25|20:55:00|1|14
S25|S25|2016-05-24|16:59:00|4|1
S31|S31|2016-04-11|14:39:00|4|7
restaurant|S8|2016-06-05|05:03:00|2|11
S9|S9|2016-06-06|14:03:00|3|7
restaurant|N34|2016-06-09|20:07:00|1|11
restaurant|L15|2016-05-03|23:04:00|2|7
L15|L15|2016-05-03|02:52:00|4|0
restaurant|X16|2016-04-09|01:37:00|3|14
X17|X17|2016-04-11|04:34:00|1|14
S33|S33|2016-04-28|14:39:00|5|7
S33|S33|2016-04-28|05:06:00|3|13
S35|S35|2016-04-28|06:53:00|5|0
S35|S35|2016-04-27|21:40:00|3|1
restaurant|S36|2016-04-30|07:15:00|3|3
restaurant|S36|2016-05-02|20:09:00|5|13
restaurant|L8|2016-06-10|16:54:00|4|0
restaurant|L8|2016-06-08|17:18:00|3|7
L8|L8|2016-06-08|22:57:00|1|0
restaurant|L8|2016-06-10|18:14:00|2|11
restaurant|S150|2016-06-27|07:48:00|3|4
L11|L11|2016-05-01|05:21:00|1|2
L14|L14|2016-05-02|10:21:00|4|3
L17|L17|2016-05-05|01:38:00|1|3
S58|S58|2016-06-20|12:08:00|2|3
restaurant|S59|2016-06-18|07:42:00|4|15
L14|L14|2016-05-12|12:26:00|2|10
restaurant|S47|2016-04-18|13:05:00|3|3
restaurant|S52|2016-04-17|02:14:00|5|14
restaurant|L19|2016-04-22|18:55:00|1|14
restaurant|D12|2016-05-11|02:46:00|4|0
restaurant|L26|2016-05-15|10:11:00|1|9
restaurant|L26|2016-05-13|15:44:00|2|15
restaurant|L5|2016-06-14|04:51:00|1|15
S24|S24|2016-04-05|06:23:00|2|15
restaurant|S25|2016-04-03|00:18:00|2|11
S27|S27|2016-04-06|08:06:00|4|9
restaurant|S28|2016-04-06|08:21:00|4|0
restaurant|L20|2016-04-06|10:46:00|4|11
restaurant|D33|2016-05-18|14:33:00|3|14
restaurant|L9|2016-06-05|15:03:00|4|9
L9|L9|2016-06-05|03:01:00|5|6
L9|L9|2016-06-02|09:04:00|1|13
restaurant|S47|2016-06-20|12:09:00|5|1
L10|L10|2016-06-09|04:09:00|3|14
restaurant|L10|2016-06-06|04:43:00|1|4
L10|L10|2016-06-08|18:37:00|2|4
restaurant|L12|2016-06-06|00:47:00|2|12
restaurant|L12|2016-06-07|11:03:00|4|15
L12|L12|2016-06-05|02:28:00|5|6
restaurant|L22|2016-05-08|23:04:00|1|8
restaurant|L22|2016-05-02|01:51:00|4|12
L22|L22|2016-05-07|00:15:00|4|12
restaurant|L22|2016-05-05|21:19:00|3|0
restaurant|L22|2016-05-04|17:51:00|2|2
restaurant|L22|2016-04-30|20:13:00|1|8
L22|L22|2016-05-10|10:39:00|3|2
restaurant|L23|2016-05-04|17:21:00|2|3
restaurant|L23|2016-04-30|16:35:00|4|5
L23|L23|2016-05-03|05:46:00|1|3
restaurant|L23|2016-05-03|19:39:00|1|3
restaurant|L23|2016-05-04|20:28:00|4|1
restaurant|D18|2016-06-07|09:49:00|1|8
L13|L13|2016-06-03|02:18:00|4|15
L13|L13|2016-06-09|23:20:00|3|15
restaurant|L13|2016-06-09|03:04:00|2|10
restaurant|L13|2016-06-10|11:47:00|4|1
restaurant|L13|2016-06-08|22:23:00|4|4
restaurant|L13|2016-06-07|17:01:00|2|6
restaurant|X23|2016-04-30|13:05:00|5|3
restaurant|S54|2016-04-19|04:44:00|1|12
restaurant|S54|2016-04-21|06:38:00|4|14
restaurant|L26|2016-06-17|18:39:00|2|8
restaurant|S63|2016-06-15|04:27:00|5|13
L22|L22|2016-04-04|21:50:00|2|10
L22|L22|2016-04-03|03:16:00|1|10
restaurant|N43|2016-05-27|15:55:00|2|13
restaurant|N46|2016-05-30|16:10:00|5|9
restaurant|N47|2016-05-27|15:22:00|2|0
N48|N48|2016-05-28|09:46:00|1|6
S66|S66|2016-06-16|09:22:00|3|2
restaurant|S66|2016-06-13|07:43:00|5|6
restaurant|S67|2016-06-17|14:32:00|2|2
S67|S67|2016-06-10|03:57:00|2|14
S69|S69|2016-06-14|04:58:00|2|14
S69|S69|2016-06-13|19:17:00|2|15
L31|L31|2016-05-22|00:07:00|3|7
restaurant|S42|2016-06-02|14:58:00|3|2
restaurant|S43|2016-06-01|14:39:00|5|4
restaurant|L32|2016-05-06|15:10:00|2|11
restaurant|S47|2016-05-10|00:03:00|4|9
S47|S47|2016-05-09|10:36:00|1|2
S48|S48|2016-05-10|19:04:00|1|2
restaurant|S48|2016-05-12|06:34:00|3|3
S72|S72|2016-06-25|12:16:00|3|11
restaurant|S30|2016-05-15|20:01:00|1|4
restaurant|S30|2016-05-10|19:42:00|3|3
restaurant|S33|2016-05-12|01:51:00|3|3
L24|L24|2016-04-30|04:05:00|3|2
L24|L24|2016-05-04|03:33:00|2|13
restaurant|L24|2016-05-03|18:13:00|2|5
restaurant|L24|2016-04-29|17:05:00|2|8
restaurant|L22|2016-04-22|09:32:00|3|14
L22|L22|2016-04-22|12:26:00|2|5
L27|L27|2016-06-16|14:51:00|1|9
L27|L27|2016-06-19|04:15:00|5|14
restaurant|L28|2016-05-14|14:18:00|2|13
S48|S48|2016-06-06|14:06:00|1|0
restaurant|S49|2016-06-07|21:51:00|4|0
restaurant|S45|2016-05-29|13:39:00|4|14
S45|S45|2016-05-30|08:47:00|4|2
restaurant|S46|2016-05-30|15:13:00|3|13
restaurant|S46|2016-06-01|08:39:00|1|15
S46|S46|2016-05-31|09:24:00|5|1
restaurant|L17|2016-04-11|14:41:00|2|7
restaurant|L22|2016-04-10|23:06:00|5|12
L20|L20|2016-05-27|22:41:00|4|13
L20|L20|2016-05-29|14:58:00|5|9
restaurant|L20|2016-05-30|14:44:00|4|7
restaurant|L21|2016-05-28|00:23:00|4|7
restaurant|L21|2016-05-30|02:46:00|3|1
S39|S39|2016-05-01|22:06:00|5|15
S39|S39|2016-05-01|09:18:00|4|3
restaurant|S40|2016-04-27|10:10:00|4|0
S40|S40|2016-04-30|04:49:00|1|15
restaurant|S41|2016-04-29|18:22:00|2|1
restaurant|S41|2016-05-01|13:08:00|3|6
restaurant|N49|2016-04-15|06:07:00|2|5
N50|N50|2016-04-18|07:25:00|5|7
restaurant|S38|2016-04-10|05:40:00|5|4
S40|S40|2016-04-12|20:42:00|4|0
restaurant|X22|2016-05-27|13:32:00|1|0
restaurant|X23|2016-05-24|19:03:00|1|3
restaurant|S52|2016-06-07|03:43:00|2|12
restaurant|D17|2016-06-07|19:49:00|2|13
L25|L25|2016-04-27|23:22:00|2|3
restaurant|L25|2016-04-27|01:05:00|2|10
restaurant|L25|2016-05-04|15:46:00|4|1
restaurant|L26|2016-05-01|02:03:00|1|1
restaurant|L26|2016-05-01|09:18:00|3|12
L26|L26|2016-04-29|12:37:00|3|12
L26|L26|2016-04-29|10:25:00|5|5
restaurant|L26|2016-04-30|14:42:00|3|2
restaurant|L23|2016-05-28|11:36:00|2|11
L23|L23|2016-05-30|23:14:00|3|3
L23|L23|2016-05-25|04:44:00|5|2
restaurant|S47|2016-06-02|16:28:00|3|11
S47|S47|2016-05-27|06:01:00|4|15
S48|S48|2016-05-25|18:34:00|4|11
restaurant|S48|2016-05-31|10:56:00|3|0
restaurant|S49|2016-05-28|10:10:00|3|13
S59|S59|2016-04-19|01:06:00|2|14
restaurant|S60|2016-04-19|22:55:00|2|1
restaurant|S61|2016-04-22|20:31:00|2|5
restaurant|S62|2016-04-20|06:30:00|5|1
S58|S58|2016-06-05|13:04:00|5|0
restaurant|S59|2016-06-04|02:23:00|4|5
restaurant|S59|2016-06-03|15:53:00|5|14
S60|S60|2016-06-04|00:19:00|3|11
S60|S60|2016-06-09|02:08:00|1|10
restaurant|L24|2016-05-19|00:57:00|1|12
L24|L24|2016-05-18|04:00:00|2|14
restaurant|L24|2016-05-18|09:40:00|5|14
restaurant|L24|2016-05-23|15:16:00|2|2
S8|S8|2016-04-28|20:44:00|2|2
restaurant|L20|2016-04-15|15:02:00|1|11
restaurant|L20|2016-04-15|12:41:00|1|14
restaurant|L20|2016-04-15|23:51:00|4|6
restaurant|L20|2016-04-14|08:19:00|4|15
L20|L20|2016-04-07|22:59:00|4|14
L20|L20|2016-04-07|03:41:00|1|15
restaurant|L20|2016-04-10|13:30:00|3|5
L42|L42|2016-06-30|06:44:00|4|3
restaurant|L42|2016-06-28|17:02:00|3|3
S47|S47|2016-06-03|07:41:00|1|8
restaurant|X22|2016-04-09|05:29:00|2|0
L28|L28|2016-04-28|00:29:00|5|2
L28|L28|2016-04-26|11:58:00|1|5
L28|L28|2016-04-24|14:53:00|1|14
S42|S42|2016-04-30|09:25:00|3|9
restaurant|S42|2016-05-02|23:49:00|4|0
restaurant|D12|2016-05-03|18:59:00|2|12
S26|S26|2016-04-10|03:09:00|3|2
restaurant|S31|2016-04-07|19:37:00|3|7
restaurant|S32|2016-04-08|21:10:00|3|4
restaurant|S32|2016-04-03|11:21:00|3|1
S33|S33|2016-04-06|10:43:00|4|5
restaurant|S74|2016-06-26|02:41:00|1|13
restaurant|S74|2016-06-24|18:41:00|3|6
S75|S75|2016-06-25|14:34:00|5|0
S76|S76|2016-06-28|05:12:00|1|3
restaurant|S81|2016-06-28|11:41:00|3|9
S82|S82|2016-06-28|20:18:00|4|9
restaurant|L28|2016-06-14|05:52:00|4|15
restaurant|L29|2016-06-14|22:26:00|2|9
L29|L29|2016-06-14|19:43:00|3|1
L16|L16|2016-05-11|22:06:00|3|10
restaurant|L18|2016-05-10|07:28:00|4|7
restaurant|L18|2016-05-12|07:54:00|3|8
L29|L29|2016-05-17|01:27:00|5|12
L24|L24|2016-06-01|03:03:00|1|1
L24|L24|2016-06-01|21:47:00|2|0
restaurant|L24|2016-06-09|12:17:00|5|11
restaurant|L24|2016-06-02|17:37:00|2|15
restaurant|L24|2016-06-05|23:40:00|1|2
